make,model,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,drivetrain,vehicle_age
15,139,1.3239096163862567,24V GDI DOHC Twin Turbo,0.8344538325517469,4,-0.11424013211754086,19,Series II,6,4.0,1,-0.28135375487034925
15,56,0.0019884823067364793,OHV,0.8344538325517469,4,-0.13229005697975935,19,Laredo,6,4.0,1,-0.28135375487034925
9,148,2.504061066827286,"6.2L V-8 gasoline direct injection, variable valve contr",2.3156278630510387,4,-0.13429560418667252,32,Denali,6,4.0,1,-0.28135375487034925
7,29,-0.1784702562178317,16V MPFI OHV,2.3156278630510387,4,-0.07011809356545118,19,Pursuit,6,4.0,0,3.0747946067973886
23,2,1.7060925459811669,24V DDI OHV Turbo Diesel,0.8344538325517469,0,-0.11424013211754086,9,Laramie,5,4.0,1,-0.28135375487034925
22,76,-0.22365257905681651,24V MPFI DOHC,0.8344538325517469,4,7.562994575946063,33,Platinum,6,4.0,0,-0.28135375487034925
15,139,0.7428703557335393,24V GDI DOHC Twin Turbo,0.8344538325517469,4,-0.12426786815210669,19,Base,6,4.0,3,-0.28135375487034925
8,48,2.156021904551417,32V DDI OHV Turbo Diesel,2.3156278630510387,0,-0.10421239608297501,3,Lariat Super Duty,5,4.0,1,-0.28135375487034925
12,135,-0.4276494139106762,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,9,Limited,6,4.0,0,-0.28135375487034925
15,56,-0.39826737642376747,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.09418466004840918,32,Altitude,6,4.0,1,-0.28135375487034925
15,23,-0.6704435247831612,16V GDI DOHC Turbo,-0.646720197947545,4,-0.13429560418667252,19,Latitude,6,4.0,1,-0.28135375487034925
23,2,0.582811300694357,oled Turbo Diesel I-6 6.7 L/408,0.8344538325517469,0,0.9326555098911323,32,Tradesman,5,4.0,1,-0.28135375487034925
12,104,-0.3633119506106128,16V PDI DOHC Turbo,-0.646720197947545,4,-0.13229005697975935,21,2.5T Limited,5,4.0,0,-0.28135375487034925
15,56,-0.33068327914725004,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.11022903770371452,32,Altitude,6,4.0,1,-0.28135375487034925
5,13,0.08450709587494232,c,-0.646720197947545,3,-0.12627341535901987,1,2LT,6,4.0,0,-0.28135375487034925
12,104,-0.6254776442092732,16V PDI DOHC Turbo,-0.646720197947545,4,-0.11022903770371452,21,2.5T XRT,5,4.0,0,-0.28135375487034925
